source,cycle,CCCT,CVCT,CCAV,SOH
B05_discharge_soh,1,3311.234,16.781,3.553734001219101,0.928243711
B05_discharge_soh,2,3293.125,16.672,3.560998737062147,0.923163625
B05_discharge_soh,3,3273.656,16.797,3.5654761960284094,0.917674597
B05_discharge_soh,4,3273.969,16.766,3.5653781905113635,0.917631264
B05_discharge_soh,5,3272.032,16.719,3.5650189486761366,0.917322754
B05_discharge_soh,6,3273.547,16.719,3.566163877920454,0.91783083
B05_discharge_soh,7,3272.86,16.719,3.566922305409091,0.917573072
B05_discharge_soh,8,3255.906,16.75,3.5728936989485716,0.912878396
B05_discharge_soh,9,3254.313,16.734,3.5715814463028566,0.912386927
B05_discharge_soh,10,3254.625,16.672,3.5706539530628567,0.912306634
B05_discharge_soh,11,3254.64,16.672,3.5684777810628567,0.912309777
B05_discharge_soh,12,3235.281,16.797,3.5749407049195407,0.907100968
B05_discharge_soh,13,3235.157,16.75,3.572885760471264,0.906876079
B05_discharge_soh,14,3234.718,16.687,3.5709222016034485,0.906720246
B05_discharge_soh,15,3215.422,16.688,3.5752586308670518,0.901299002
B05_discharge_soh,16,3214.203,16.844,3.5732210909768787,0.90105345
B05_discharge_soh,17,3214.766,16.734,3.571395014473988,0.901289751
B05_discharge_soh,18,3215.438,16.75,3.5692696789942193,0.901534157
B05_discharge_soh,19,3215.125,16.719,3.5682979758959537,0.901388813
B05_discharge_soh,20,3294.421,16.718,3.5731562443672313,0.923512998
B05_discharge_soh,21,3295.469,16.735,3.5726676338474577,0.923708656
B05_discharge_soh,22,3275.672,16.766,3.574336031255682,0.918088711
B05_discharge_soh,23,3256.829,16.75,3.5753552785371436,0.912890374
B05_discharge_soh,24,3255.578,16.703,3.5729091665257147,0.912556822
B05_discharge_soh,25,3256.468,16.797,3.5696804875142853,0.912790752
B05_discharge_soh,26,3235.656,16.719,3.5742333976034484,0.907015564
B05_discharge_soh,27,3237.047,16.703,3.56960087725862,0.907384597
B05_discharge_soh,28,3235.328,16.641,3.567340701517242,0.906984695
B05_discharge_soh,29,3215.297,16.734,3.5721687789421965,0.901382833
B05_discharge_soh,30,3217.609,16.734,3.568507701531792,0.90203852
B05_discharge_soh,31,3307.0,9.39,3.5704314764067795,0.925901276
B05_discharge_soh,32,3269.625,9.375,3.572976740482857,0.915351923
B05_discharge_soh,33,3250.516,9.422,3.5722287900287357,0.909952055
B05_discharge_soh,34,3231.844,9.406,3.570211582020231,0.904653982
B05_discharge_soh,35,3223.39,9.406,3.567812537434783,0.902304953
B05_discharge_soh,36,3213.609,9.375,3.570224554145349,0.899688533
